samsung bataryası iyi olan -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
rami 8 gigabyte olan -> price:none; brand:none; os:none; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none; 
rami 12 olan -> price:none; brand:none; os:none; usage:none; ram:12; storage:none; battery:none; camera:none; screen:none; 
rami 16 olan -> price:none; brand:none; os:none; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none; 
hafızası iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
depolama iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
depolama çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
hafızası çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
hafızası aşırı olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
256 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none; 
128 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none; 
hafızası hemen dolmayan telefon öner -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
bataryası iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası kötü  -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:bad; camera:none; screen:none; 
bataryası çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
şarjı çok giden -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
şarjı çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
şarjı yetsin -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
uzun batarya ömrü telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
batarya olarak sorun çekmeyeceğim -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
batarya iyi -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
batarya kötü -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:bad; camera:none; screen:none; 
uzun süre dayanacak telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan android -> price:none; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan apple -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan iphone -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan samsung -> price:none; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
bataryası uzun dayanan xiaomi -> price:none; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
ekranı büyük olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
ekranı iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
ekranı kocaman olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
ekranı normal olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:bad;
15000 tl android telefon -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
10000 tl 4 gb ram iphone telefon öner -> price:10000; brand:none; os:ios; usage:none; ram:4; storage:none; battery:none; camera:none; screen:none;
25000 tl hafızası iyi olan oyun için telefon android -> price:25000; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
fotoğraf çekmek için 20000 tl altında samsung telefon -> price:20000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
8 gb ram oyun telefonu 30000 tl bütçe -> price:30000;  os:android; brand:none; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
15000 liralik android telefon öner -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 liralık apple telefon öner -> price:15000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl lik xiaomi telefon öner -> price:15000; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bataryası iyi olan max 12000 tl android telefon öner -> price:12000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
hafızası ve bataryası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none; 
hızlı telefon performans -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl android telefon -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için 20000 tl altında samsung telefon -> price:20000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
8 gb ram oyun telefonu 30000 tl bütçe -> price:30000; brand:none; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
15000 liralık android telefon öner -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 liralık apple telefon öner -> price:15000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl lik xiaomi telefon öner -> price:15000; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bataryası iyi olan max 12000 tl android telefon öner -> price:12000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hafızası ve bataryası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
bataryası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hafızası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
hafıza ve batarya iyi olan 6 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:6; storage:good; battery:good; camera:none; screen:none;
hafıza iyi olan 6 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:6; storage:good; battery:none; camera:none; screen:none;
batarya iyi olan 6 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:6; storage:none; battery:good; camera:none; screen:none;
batarya iyi olan 8 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:8; storage:none; battery:good; camera:none; screen:none;
batarya iyi olan 16 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:16; storage:none; battery:good; camera:none; screen:none;
hızlı telefon performans -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
hızlı telefon performans batarya iyi -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı telefon performans hafıza iyi -> price:any; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
hızlı telefon performans hafıza ve batarya iyi -> price:any; brand:none; os:android; usage:game; ram:none; storage:good; battery:good; camera:none; screen:none;
hafıza ve batarya iyi -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
batarya ve hafıza iyi -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
gaming telefon arıyorum -> price:any; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
gaming android telefon arıyorum -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
gaming xiaomi telefon arıyorum -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğrafçılık için telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
128 gb depolama -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
pil ömrü uzun telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
android 6 gb ram -> price:any; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none;
samsung kamerası iyi -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone oyun oynamak için -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
xiaomi gaming 128 gb -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:128; battery:none; camera:none; screen:none;
20000 tl bütçe oyun telefonu -> price:20000; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi bir ekranlı iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
fotoğraf için 256 gb hafıza -> price:any; brand:none; os:none; usage:photo; ram:none; storage:256; battery:none; camera:good; screen:none;
uzun pil ömrü olan android oyun telefonu -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
15000 tl'ye samsung bataryası iyi -> price:15000; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
8 gb ram ve iyi depolama -> price:any; brand:none; os:none; usage:none; ram:8; storage:good; battery:none; camera:none; screen:none;
16 gb ram ve iyi depolama -> price:any; brand:none; os:none; usage:none; ram:16; storage:good; battery:none; camera:none; screen:none;
16 gb ram ve iyi depolama ve iyi batarya -> price:any; brand:none; os:none; usage:none; ram:16; storage:good; battery:good; camera:none; screen:none;
15000 tl altinda 6 gb ram android telefon oner -> price:15000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none;
ucuz telefon 8gb ram -> price:10000; brand:none; os:none; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
android telefon kamera ve batarya iyi -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
25000 tl altında iphone kamera iyi -> price:25000; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
oyun için bataryası iyi olan android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
samsung 128 gb depolama ve 8 gb ram -> price:any; brand:samsung; os:android; usage:none; ram:8; storage:128; battery:none; camera:none; screen:none;
xiaomi fotoğraf için 6 gb ram -> price:any; brand:xiaomi; os:android; usage:photo; ram:6; storage:none; battery:none; camera:good; screen:none;
10000 tl civarı iyi kameralı android -> price:10000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone 256 gb ve batarya iyi -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:256; battery:good; camera:none; screen:none;
gaming telefon 16 gb ram -> price:any; brand:none; os:none; usage:game; ram:16; storage:none; battery:none; camera:none; screen:none;
android telefon iyi ekran -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
samsung oyun için 256 gb -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:256; battery:none; camera:none; screen:none;
iphone 8 gb ram -> price:any; brand:apple; os:ios; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
xiaomi fotoğraf ve 128 gb depolama -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
22000 tl android gaming telefon -> price:22000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
uzun süre kullanım için bataryası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
android telefon 6 gb ram batarya iyi -> price:any; brand:none; os:android; usage:none; ram:6; storage:none; battery:good; camera:none; screen:none;
30000 tl bütçeli iphone fotoğraf -> price:30000; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
gaming için hızlı android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
samsung iyi depolama ve kamera -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none;
iphone 128 gb ve batarya iyi -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none;
xiaomi oyun için bataryası iyi -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
15000 tl'ye fotoğraf çekmek için samsung -> price:15000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iyi ekranlı oyun telefonu -> price:any; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:good;
256 gb hafıza ve iyi batarya android -> price:any; brand:none; os:android; usage:none; ram:none; storage:256; battery:good; camera:none; screen:none;
fotoğraf için iphone 128 gb -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
samsung gaming 8 gb ram -> price:any; brand:samsung; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
android 25000 tl batarya iyi -> price:25000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı ve batarya iyi android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
16 gb ramli samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none;
iphone fotoğraf ve uzun batarya -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
xiaomi kamera iyi ve 256 gb hafıza -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:256; battery:none; camera:good; screen:none;
10000 tl'ye oyun için android -> price:10000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi depolama ve batarya iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
android telefon 8 gb ram ve iyi batarya -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:good; camera:none; screen:none;
samsung oyun için bataryası ve depolaması iyi -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:good; battery:good; camera:none; screen:none;
20000 tl altında android gaming telefon -> price:20000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf ve oyun için iphone -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
xiaomi bataryası iyi ve ekranı iyi -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
xiaomi bataryası iyi ve ekranı iyi oyun için -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:good;
15000 tl'ye iyi ekranlı android -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
gaming telefon 256 gb hafıza ve iyi batarya -> price:any; brand:none; os:none; usage:game; ram:none; storage:256; battery:good; camera:none; screen:none;
apple 16 gb ram -> price:any; brand:apple; os:ios; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none;
samsung fotoğraf için batarya iyi -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
10000 tl'ye fotoğraf ve oyun için android -> price:10000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone için iyi kamera ve 8 gb ram -> price:any; brand:apple; os:ios; usage:photo; ram:8; storage:none; battery:none; camera:good; screen:none;
bataryası iyi olan android 6 gb ram -> price:any; brand:none; os:android; usage:none; ram:6; storage:none; battery:good; camera:none; screen:none;
xiaomi oyun ve 8 gb ram -> price:any; brand:xiaomi; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
25000 tl bütçeli gaming telefon -> price:25000; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
android telefon iyi ekran ve kamera -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:good;
samsung 16 gb ram ve iyi depolama -> price:any; brand:samsung; os:android; usage:none; ram:16; storage:good; battery:none; camera:none; screen:none;
iphone bataryası kötü olmayan -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
15000 tl oyun için android telefon 8 gb ram -> price:15000; brand:none; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
fotoğraf için 256 gb hafıza ve iyi batarya -> price:any; brand:none; os:none; usage:photo; ram:none; storage:256; battery:good; camera:good; screen:none;
xiaomi fotoğraf için iyi batarya -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
20000 tl altında android kamera ve batarya iyi -> price:20000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
oyun için iyi depolama ve batarya iphone -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:good; battery:good; camera:none; screen:none;
samsung 256 gb hafıza ve iyi batarya -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:256; battery:good; camera:none; screen:none;
android telefon hızlı şarj ve iyi batarya -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
10000 tl'ye fotoğraf ve iyi batarya android -> price:10000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
iphone gaming 128 gb ve 8 gb ram -> price:any; brand:apple; os:ios; usage:game; ram:8; storage:128; battery:none; camera:none; screen:none;
xiaomi 16 gb ram ve iyi batarya -> price:any; brand:xiaomi; os:android; usage:none; ram:16; storage:none; battery:good; camera:none; screen:none;
25000 tl oyun için android telefon 16 gb ram -> price:25000; brand:none; os:android; usage:game; ram:16; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için iyi ekranlı android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:good;
samsung iyi kamera ve 8 gb ram -> price:any; brand:samsung; os:android; usage:photo; ram:8; storage:none; battery:none; camera:good; screen:none;
iphone fotoğraf için 256 gb ve batarya iyi -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:256; battery:good; camera:good; screen:none;
android telefon 128 gb hafıza ve iyi kamera -> price:any; brand:none; os:android; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
xiaomi oyun için 256 gb hafıza -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:256; battery:none; camera:none; screen:none;
15000 tl altında android gaming 6 gb ram -> price:15000; brand:none; os:android; usage:game; ram:6; storage:none; battery:none; camera:none; screen:none;
iyi batarya ve iyi depolama samsung -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
iphone 8 gb ram ve batarya iyi -> price:any; brand:apple; os:ios; usage:none; ram:8; storage:none; battery:good; camera:none; screen:none;
android fotoğraf ve batarya iyi olan 256 gb -> price:any; brand:none; os:android; usage:photo; ram:none; storage:256; battery:good; camera:good; screen:none;
20000 tl oyun için iphone -> price:20000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
xiaomi bataryası iyi ve 128 gb hafıza -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none;
10000 tl'ye android 8 gb ram -> price:10000; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
samsung gaming 16 gb ram ve iyi batarya -> price:any; brand:samsung; os:android; usage:game; ram:16; storage:none; battery:good; camera:none; screen:none;
iphone fotoğraf için depolama iyi -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none;
android telefon 16 gb ram ve iyi depolama -> price:any; brand:none; os:android; usage:none; ram:16; storage:good; battery:none; camera:none; screen:none;
xiaomi oyun için iyi ekran -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:good;
telefon öner -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için telefon -> price:any; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi kameralı telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bütçe 10000 tl -> price:10000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
android telefon istiyorum -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
iphone 128 gb -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
samsung oyun telefonu -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
xiaomi kamerası iyi olan -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
uzun pil ömrü olan telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
8 gb ramli android -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
256 gb hafızalı telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
20000 tl civarı android telefon -> price:20000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için iphone -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için xiaomi -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bataryası iyi 128 gb telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none;
6 gb ramli oyun telefonu -> price:any; brand:none; os:none; usage:game; ram:6; storage:none; battery:none; camera:none; screen:none;
ekranı büyük android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
bütçem 18000 tl android fotoğraf telefonu -> price:18000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
hızlı oyun oynayabileceğim android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi depolama ve batarya samsung -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
15000 tl altında kamerası iyi telefon -> price:15000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone için iyi kamera -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
25000 tl gaming telefon android -> price:25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
bataryası iyi iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
16 gb ramli telefon -> price:any; brand:none; os:none; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none;
hafızası iyi olan ve bataryası uzun giden telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
samsung fotoğraf ve oyun için -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
xiaomi 128 gb hafıza -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
android telefon 8 gb ram 256 gb hafıza -> price:any; brand:none; os:android; usage:none; ram:8; storage:256; battery:none; camera:none; screen:none;
bütçe 10000 tl altı android telefon -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için uygun fiyatlı android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
profesyonel fotoğraf çekmek için iphone -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
şarjı iyi giden samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı ve güçlü android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl oyun için android telefon -> price:15000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi bir ekranı olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
apple telefon 128 gb depolama -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
hafızası yüksek android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
20000 tl kamera ve batarya iyi olan telefon -> price:20000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
oyun ve fotoğraf için samsung -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
6 gb ramli samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none;
uzun ömürlü bataryaya sahip android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
15000 tl'ye iyi kamerası olan android -> price:15000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone oyun ve batarya -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
xiaomi gaming telefon -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
10000 tl 4 gb ram iphone telefon oner -> price:10000; brand:apple; os:ios; usage:none; ram:4; storage:none; battery:none; camera:none; screen:none;
25000 tl hafizasi iyi olan oyun icin telefon android -> price:25000; brand:none; os:android; usage:game; ram:8; storage:good; battery:none; camera:none; screen:none;
256 gb hafızalı android -> price:any; brand:none; os:android; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
bütçem 22000 tl iyi kameralı telefon -> price:22000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
android telefon 8 gb ram -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
oyun için güçlü batarya samsung -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
apple fotoğraf ve depolama -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none;
10000 tl'ye bataryası iyi android -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı şarj olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
iyi bir ekranlı oyun telefonu android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:good;
15000 tl'ye gaming iphone -> price:15000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf ve batarya iyi olan xiaomi -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
128 gb hafıza ve iyi kamera android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
30000 tl oyun ve fotoğraf iphone -> price:30000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
şarjı iyi giden ve ram'i yüksek android -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:good; camera:none; screen:none;
